Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Difference_R2
Linear Regression,0.9344234527897507,0.642902087836795,19777.12364240388,52336.00552389566,12787.530808978836,20602.35928026407,0.29152136495295566
Ridge Regression,0.9340515999613808,0.6851727730129914,19833.11761916424,49140.894679426645,12843.534919363054,20233.137674630132,0.24887882694838936
Lasso Regression,0.9344129082518559,0.6451159623258835,19778.713633460484,52173.52139432567,12790.608414434802,20547.574332966273,0.2892969459259723
Elastic Net,0.8793574022186,0.8589707460431409,26824.96696015764,32889.821869468135,15624.595334093287,19291.533938758203,0.020386656175459095
